NombreCentral;NombreChimenea;Periodo;Concentración(mg/Nm3);Azufre PPM;Mercurio PPM;Vanadio PPM;Niquel PPM;Cenizas PPM;Poder Calorífico Superior (MWh/t);Densidad de Combustible (Kg/m3)
ANGAMOS;ANGAMOS ;2023/2;0,0038;6900,0;0,07800000160932541;50,0;6,199999809265137;101900,0;6,4720001220703125;840,0
VENTANA II;VENTANAS II;2023/2;0,008;7300,0;0,03999999910593033;37,810001373291016;11,0;109300,0;8,09000015258789;0,800000011920929
CENTRAL TERMOELÉCTRICA COCHRANE;COCHRANE;2023/2;0,0041;6200,0;0,05999999865889549;49,0;7,699999809265137;193000,0;6,401000022888184;840,0
ANDINA;CTA;2023/2;0,0052;2400,0;0,029999999329447746;10,0;6,559999942779541;115700,0;6,005000114440918;850,0
ANDINA;CTH;2023/2;0,0057;2400,0;0,029999999329447746;10,0;6,559999942779541;115700,0;6,005000114440918;850,0
MEJILLONES;CTM-7;2023/2;0,0002;4500,0;5,739999771118164;86,5999984741211;13,819999694824219;36500,0;7,041999816894531;860,0
MEJILLONES;CTM1_2;2023/2;0,0212;4000,0;1,4700000286102295;13,420000076293945;22,290000915527344;35500,0;7,041999816894531;762,0
TOCOPILLA;U14_15;2023/2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
TOCOPILLA;U12_13;2023/2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BOCAMINA ;Chimena Unidad 2;2023/2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BOCAMINA ;Chimena unidad 1;2023/2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
VENTANAS I;Ventanas 1;2023/2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SANTA MARÍA I;Unidad I Complejo Santa María;2023/2;0,002;6000,0;0,08100000023841858;32,0;11,0;81800,0;5,818999767303467;850,0
GUACOLDA;Chimenea Unidad N°1&2;2023/2;0,0001;7280,0;0,09049999713897705;3,299999952316284;0,75;142910,0;8870,0;0,800000011920929
GUACOLDA;Chimenea Unidad N°3;2023/2;0,0045;6780,0;0,08910000324249268;3,299999952316284;0,75;130610,0;8870,0;0,800000011920929
GUACOLDA;Chimenea Unidad N°4;2023/2;0,001;5875,0;0,07800000160932541;30,627500534057617;11,397500038146973;132200,0;8721,099609375;0,800000011920929
GUACOLDA;Chimenea Unidad N°5;2023/2;0,005;5700,0;0,07750000059604645;9,399999618530273;4,125;99250,0;7214,5;0,800000011920929
NORGENER;NT 01;2023/2;0,001;4800,0;0,061000000685453415;7,300000190734863;1,7999999523162842;59400,0;6,183000087738037;839,0
NORGENER;NT 02;2023/2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
VENTANAS III;Nueva Ventanas;2023/2;0,0;6900,0;0,10000000149011612;44,79999923706055;9,5;146400,0;7,599999904632568;0,800000011920929
VENTANA IV (EX CENTRAL CAMPICHE);Central Campiche;2023/2;0,008;6800,0;0,05999999865889549;34,849998474121094;12,079999923706055;144011,09375;8,0;0,800000011920929
